iter	Passed	Remaining
0	3	301
1	5	275
2	8	263
3	9	237
4	12	239
5	15	237
6	17	232
7	19	228
8	22	224
9	24	223
10	27	225
11	31	227
12	33	226
13	36	223
14	38	218
15	40	213
16	43	212
17	46	209
18	48	206
19	52	209
20	54	205
21	57	203
22	59	200
23	63	200
24	66	198
25	68	194
26	70	191
27	73	189
28	77	189
29	79	186
30	82	183
31	84	179
32	86	176
33	89	173
34	91	170
35	94	167
36	96	165
37	100	163
38	103	161
39	105	157
40	107	155
41	108	150
42	110	146
43	113	143
44	115	140
45	117	138
46	120	136
47	123	133
48	125	130
49	127	127
50	129	124
51	133	123
52	136	120
53	138	117
54	139	114
55	141	111
56	144	108
57	146	105
58	149	103
59	152	101
60	154	98
61	156	96
62	159	93
63	161	90
64	164	88
65	166	85
66	169	83
67	171	80
68	174	78
69	176	75
70	178	73
71	181	70
72	185	68
73	188	66
74	190	63
75	193	61
76	196	58
77	198	56
78	200	53
79	202	50
80	205	48
81	208	45
82	210	43
83	213	40
84	215	38
85	217	35
86	220	32
87	223	30
88	226	27
89	228	25
90	230	22
91	233	20
92	235	17
93	238	15
94	240	12
95	243	10
96	245	7
97	247	5
98	250	2
99	253	0
